	Assay	Cell Type	Molecule
159	DNASE	WI38 genetically modified using stable transfection originated from WI38 treated with 20 nM afimoxifene for 72 hours	
160	DNASE	WI38 genetically modified using stable transfection originated from WI38	
161	DNASE	HT1080	
162	DNASE	SK-MEL-5	
163	DNASE	SJCRH30	
164	DNASE	NCI-H460	
165	DNASE	SK-N-DZ treated with dimethyl sulfoxide for 72 hours	
166	DNASE	GM23338 male adult (53 years) originated from GM23248	
167	DNASE	lung embryo (112 days)	
168	DNASE	SK-MEL-5	
169	DNASE	muscle of back female embryo (113 days)	
170	DNASE	iPS DF 4.7 male newborn	
171	DNASE	right renal cortex interstitium male embryo (105 days)	
172	DNASE	caudate nucleus male adult (78 years)	
173	DNASE	left renal pelvis male embryo (105 days)	
174	DNASE	H9 S1 phase genetically modified using stable transfection	
175	DNASE	right kidney female embryo (87 days)	
176	DNASE	Karpas-422	
177	DNASE	CD8-positive, alpha-beta T cell male adult (21 year)	
178	DNASE	renal cortex interstitium female embryo (96 days)	
179	DNASE	brain female embryo (85 days)	
180	DNASE	muscle of leg male embryo (97 days)	
181	DNASE	muscle of back female embryo (105 days)	
182	DNASE	placenta female embryo (113 days)	
183	DNASE	foreskin keratinocyte male newborn	
184	DNASE	right kidney female embryo (107 days)	
185	DNASE	RCC 7860	
186	DNASE	colon epithelial cell line	
187	DNASE	left renal cortex interstitium male embryo (120 days)	
188	DNASE	T-cell	
189	DNASE	large intestine male embryo (113 days)	
190	DNASE	PC-3	
191	DNASE	muscle of leg male embryo (96 days)	
192	DNASE	adrenal gland embryo (96 days)	
193	DNASE	coronary artery female adult (53 years)	
194	DNASE	stomach female embryo (105 days)	
195	DNASE	muscle of arm female embryo (115 days)	
196	DNASE	heart female embryo (91 day)	
197	DNASE	kidney embryo (80 days)	
198	DNASE	heart left ventricle female adult (53 years)	
199	DNASE	muscle of back female embryo (98 days)	
200	DNASE	lung male embryo (108 days)	
201	DNASE	tibial artery female adult (53 years)	
202	DNASE	adrenal gland male embryo (101 day)	
203	DNASE	kidney female embryo (121 day)	
204	DNASE	stomach female embryo (107 days)	
205	DNASE	small intestine female embryo (110 days)	
206	DNASE	MG63	
207	DNASE	skin of body female embryo (82 days)	
208	DNASE	left renal cortex interstitium male embryo (105 days)	
209	DNASE	stomach male embryo (58 days) and male embryo (76 days)	
210	DNASE	left kidney female embryo (59 days) and male embryo (91 day)	
211	DNASE	hematopoietic multipotent progenitor cell	
212	DNASE	kidney female embryo (120 days)	
213	DNASE	muscle of back female embryo (115 days)	
214	DNASE	hematopoietic multipotent progenitor cell male adult (25 years) treated with erythropoietin for 20 days, hydrocortisone succinate for 20 days, kit ligand for 20 days, interleukin-3 for 20 days	
215	DNASE	small intestine female embryo (120 days)	
216	DNASE	brain embryo (112 days)	
217	DNASE	stomach female embryo (105 days)	
218	DNASE	left kidney female embryo (98 days)	
219	DNASE	trophoblast cell embryo (21 week)	
220	DNASE	common myeloid progenitor, CD34-positive female adult (27 years)	
221	DNASE	eye female embryo (76 days)	
222	DNASE	renal cortex interstitium male embryo (108 days)	
223	DNASE	placenta female embryo (108 days)	
224	DNASE	stomach female adult (53 years)	
225	DNASE	small intestine female embryo (107 days)	
226	DNASE	large intestine female embryo (120 days)	
227	DNASE	kidney glomerular epithelial cell male adult (43 years) and male adult (62 years)	
228	DNASE	renal pelvis female embryo (96 days)	
229	DNASE	lung female embryo (76 days)	
230	DNASE	muscle of back male embryo (104 days)	
231	DNASE	lung female embryo (85 days)	
232	DNASE	spinal cord male embryo (105 days)	
233	DNASE	hematopoietic multipotent progenitor cell treated with interleukin-3 for 4 days, kit ligand for 4 days, hydrocortisone succinate for 4 days, erythropoietin for 4 days	
234	DNASE	HepG2	
235	DNASE	foreskin fibroblast male newborn	
236	DNASE	omental fat pad female adult (53 years)	
237	DNASE	large intestine female embryo (110 days)	
238	DNASE	heart female embryo (105 days)	
239	DNASE	renal cortex interstitium male embryo (113 days)	
240	DNASE	brain female embryo (96 days)	
241	DNASE	thyroid gland male adult (37 years)	
242	DNASE	liver embryo (59 days) and embryo (80 days)	
243	DNASE	stomach male adult (54 years)	
244	DNASE	thymus male embryo (127 days)	
245	DNASE	upper lobe of left lung male adult (37 years)	
246	DNASE	endodermal cell	
247	DNASE	forelimb muscle female embryo (108 days)	
248	DNASE	CD4-positive, alpha-beta T cell male adult (37 years)	
249	DNASE	muscle of leg male embryo (101 day)	
250	DNASE	gastrocnemius medialis male adult (37 years)	
251	DNASE	gastrocnemius medialis male adult (54 years)	
252	DNASE	stomach male embryo (91 day)	
253	DNASE	muscle of back male embryo (101 day)	
254	DNASE	heart female embryo (117 days)	
255	DNASE	kidney tubule cell female adult (80 years) and male adult (62 years)	
256	DNASE	fibroblast of skin of abdomen male embryo (97 days)	
257	DNASE	pancreas male adult (34 years)	
258	DNASE	trophoblast cell originated from H1-hESC	
259	DNASE	left kidney male embryo (96 days)	
260	DNASE	skin fibroblast male embryo (97 days)	
261	DNASE	brain female embryo (142 days)	
262	DNASE	small intestine male embryo (105 days)	
263	DNASE	heart female embryo (110 days)	
264	DNASE	common myeloid progenitor, CD34-positive female	
265	DNASE	adrenal gland male adult (37 years)	
266	DNASE	muscle of back female embryo (85 days)	
267	DNASE	muscle of leg female embryo (85 days)	
268	DNASE	Peyer's patch male adult (54 years)	
269	DNASE	amniotic stem cell	
270	DNASE	stomach female embryo (98 days)	
271	DNASE	large intestine female embryo (91 day)	
272	DNASE	lung female embryo (120 days)	
273	DNASE	skin fibroblast male embryo (97 days)	
274	DNASE	SW480	
275	DNASE	GM23248	
276	DNASE	muscle of trunk female embryo (120 days)	
277	DNASE	islet precursor cell	
278	DNASE	medulla oblongata male adult (78 years) and male adult (84 years)	
279	DNASE	right lung male embryo (115 days)	
280	DNASE	body of pancreas male adult (54 years)	
281	DNASE	mammary epithelial cell female adult (18 years)	
282	DNASE	gastrocnemius medialis female adult (51 year)	
283	DNASE	uterus female adult (53 years)	
284	DNASE	ELR	
285	DNASE	omental fat pad female adult (51 year)	
286	DNASE	stomach male child (3 years)	
287	DNASE	B cell male adult (37 years)	
288	DNASE	foreskin fibroblast male newborn	
289	DNASE	renal cortex interstitium male embryo (91 day)	
290	DNASE	ACHN	
291	DNASE	kidney tubule cell female adult (80 years) treated with 5 uM cisplatin	
292	DNASE	left renal pelvis male embryo (105 days)	
293	DNASE	iPS DF 6.9 male newborn	
294	DNASE	kidney male embryo (87 days)	
295	DNASE	right lung female embryo (91 day)	
296	DNASE	NCI-H226	
297	DNASE	right renal cortex interstitium male embryo (105 days)	
298	DNASE	G401	
299	DNASE	muscle of arm male embryo (113 days)	
300	DNASE	common myeloid progenitor, CD34-positive male adult	
301	DNASE	muscle of leg female embryo (113 days)	
302	DNASE	arm bone male embryo (81 day)	
303	DNASE	H9	
304	DNASE	testis male embryo	
305	DNASE	neural stem progenitor cell originated from H1-hESC	
306	DNASE	right atrium auricular region female adult (51 year)	
307	DNASE	common myeloid progenitor, CD34-positive male adult (49 years)	
308	DNASE	stomach female embryo (121 day)	
309	DNASE	muscle of leg female embryo (105 days)	
310	DNASE	muscle of leg male embryo (97 days)	
311	DNASE	left kidney female embryo (87 days)	
312	DNASE	muscle of back male embryo (97 days)	
313	DNASE	muscle of leg male embryo (96 days)	
314	DNASE	right lung female embryo (105 days)	
315	DNASE	NAMALWA treated with Sendai virus for 2 hours	
316	DNASE	renal pelvis male embryo (127 days)	
317	DNASE	muscle of arm male embryo (96 days)	
318	DNASE	heart male child (3 years)	
319	DNASE	brain female embryo (117 days)	
320	DNASE	muscle of arm female embryo (85 days)	
321	DNASE	heart male embryo (110 days)	
322	DNASE	L1-S8	
323	DNASE	CD8-positive, alpha-beta T cell male adult (37 years)	
324	DNASE	muscle of back male embryo (91 day)	
325	DNASE	left renal pelvis male embryo (105 days)	
326	DNASE	middle frontal gyrus male adult (78 years)	
327	DNASE	lung male embryo (103 days)	
328	DNASE	heart male embryo (105 days)	
329	DNASE	left renal pelvis male embryo (120 days)	
330	DNASE	common myeloid progenitor, CD34-positive female adult (50 years)	
331	DNASE	Peyer's patch female adult (53 years)	
332	DNASE	skin fibroblast male embryo (97 days)	
333	DNASE	hematopoietic multipotent progenitor cell	
334	DNASE	right kidney male embryo (87 days)	
335	DNASE	tibial artery male adult (37 years)	
336	DNASE	renal cell carcinoma	
337	DNASE	thymus female embryo (113 days)	
338	DNASE	brain female embryo (109 days)	
339	DNASE	Daoy	
340	DNASE	A673	
341	DNASE	muscle of arm male embryo (101 day)	
342	DNASE	muscle of arm female embryo (120 days)	
343	DNASE	muscle of back male embryo (105 days)	
344	DNASE	skin fibroblast male embryo (97 days)	
345	DNASE	ecto neural progenitor cell originated from H9	
346	DNASE	hematopoietic multipotent progenitor cell treated with interleukin-3 for 17 days, kit ligand for 17 days, hydrocortisone succinate for 17 days, erythropoietin for 17 days	
347	DNASE	hepatocyte originated from H9	
348	DNASE	renal pelvis male embryo (97 days)	
349	DNASE	heart embryo (101 day)	
350	DNASE	large intestine male embryo (115 days)	
351	DNASE	T-cell male adult (37 years)	
352	DNASE	skin fibroblast male embryo (97 days)	
353	DNASE	CD1c-positive myeloid dendritic cell	
354	DNASE	B cell male adult (21 year)	
355	DNASE	superior temporal gyrus male adult (84 years)	
356	DNASE	skin fibroblast male embryo (97 days)	
357	DNASE	iPS DF 19.11 male newborn	
358	DNASE	hindlimb muscle male embryo (120 days)	
359	DNASE	MCF 10A treated with 1 uM tamoxifen for 6 hours	
360	DNASE	sigmoid colon male adult (54 years)	
361	DNASE	heart male embryo (120 days)	
362	DNASE	tibial nerve female adult (51 year)	
363	DNASE	adipocyte	
364	DNASE	muscle of trunk female embryo (121 day)	
365	DNASE	left cardiac atrium female embryo (101 day)	
366	DNASE	T-cell male adult (21 year)	
367	DNASE	right kidney male embryo (108 days)	
368	DNASE	adrenal gland female embryo (108 days)	
369	DNASE	hematopoietic multipotent progenitor cell treated with interleukin-3 for 11 day, kit ligand for 11 day, hydrocortisone succinate for 11 day, erythropoietin for 11 day	
370	DNASE	brain male embryo (105 days)	
371	DNASE	body of pancreas female adult (53 years)	
372	DNASE	left kidney female embryo (147 days)	
373	DNASE	CD4-positive, alpha-beta T cell male adult (37 years)	
374	DNASE	KBM-7	
375	DNASE	psoas muscle male child (3 years)	
376	DNASE	ovary female embryo	
377	DNASE	RKO	
378	DNASE	leg bone male embryo (81 day)	
379	DNASE	glomerular visceral epithelial cell child (3 years)	
380	DNASE	foreskin melanocyte male newborn	
381	DNASE	embryonic facial prominence embryo (53 days) and embryo (58 days)	
382	DNASE	vagina female adult (53 years)	
383	DNASE	kidney female embryo (85 days)	
384	DNASE	muscle of back male embryo (96 days)	
385	DNASE	muscle of trunk female embryo (113 days)	
386	DNASE	iPS DF 19.7 male newborn	
387	DNASE	right lung female embryo (110 days)	
388	DNASE	left lung male embryo (87 days)	
389	DNASE	large intestine female embryo (105 days)	
390	DNASE	right lung female embryo (98 days)	
391	DNASE	leg bone male embryo (81 day)	
392	DNASE	CD14-positive monocyte male adult (21 year)	
393	DNASE	muscle of arm male embryo (120 days)	
394	DNASE	Peyer's patch male adult (37 years)	
395	DNASE	common myeloid progenitor, CD34-positive male adult (36 years)	
396	DNASE	left lung female embryo (108 days)	
397	DNASE	small intestine female embryo (91 day)	
398	DNASE	MM.1S	
399	DNASE	sigmoid colon female adult (51 year)	
400	DNASE	left lung female embryo (105 days)	
401	DNASE	common myeloid progenitor, CD34-positive female adult (33 years)	
402	DNASE	retina embryo (125 days) and male embryo (103 days)	
403	DNASE	brain male embryo (72 days) and male embryo (76 days)	
404	DNASE	muscle of back male embryo (108 days)	
405	DNASE	IMR-90	
406	DNASE	lung female embryo (108 days)	
407	DNASE	left lung male embryo (113 days)	
408	DNASE	OCI-LY7	
409	DNASE	upper lobe of left lung female adult (51 year)	
410	DNASE	hematopoietic multipotent progenitor cell treated with interleukin-3 for 18 days, kit ligand for 18 days, hydrocortisone succinate for 18 days, erythropoietin for 18 days	
411	DNASE	putamen male adult (78 years)	
412	DNASE	common myeloid progenitor, CD34-positive male adult (42 years)	
413	DNASE	placenta embryo (53 days)	
414	DNASE	kidney male embryo (105 days)	
415	DNASE	heart left ventricle female embryo (136 days)	
416	DNASE	small intestine female embryo (108 days)	
417	DNASE	LoVo	
418	DNASE	cerebellar cortex male adult (78 years) and male adult (84 years)	
419	DNASE	lung embryo (67 days)	
420	DNASE	transverse colon female adult (53 years)	
421	DNASE	brain embryo (80 days)	
422	DNASE	stomach female embryo (108 days)	
423	DNASE	umbilical cord embryo (59 days) and male embryo (76 days)	
424	DNASE	muscle of leg male embryo (105 days)	
425	DNASE	Caki2	
426	DNASE	muscle of arm female embryo (105 days)	
427	DNASE	foreskin melanocyte male newborn	
428	DNASE	stomach male embryo (108 days)	
429	DNASE	body of pancreas male adult (37 years)	
430	DNASE	renal cortex interstitium female embryo (120 days)	
431	DNASE	body of pancreas female adult (51 year)	
432	DNASE	large intestine male embryo (105 days)	
433	DNASE	limb embryo (58 days) and embryo (59 days)	
434	DNASE	heart female embryo (147 days)	
435	DNASE	heart male embryo (96 days)	
436	DNASE	right renal pelvis male embryo (120 days)	
437	DNASE	left lung female embryo (117 days)	
438	DNASE	thymus female embryo (98 days)	
439	DNASE	ovary female adult (53 years)	
440	DNASE	left kidney male embryo (115 days)	
441	DNASE	thymus male embryo (113 days)	
442	DNASE	placenta female embryo (105 days)	
443	DNASE	EH	
444	DNASE	renal cortex interstitium male embryo (97 days)	
445	DNASE	placenta embryo (102 days)	
446	DNASE	placenta embryo (56 days) and embryo (59 days)	
447	DNASE	renal pelvis female embryo (103 days)	
448	DNASE	right lobe of liver female adult (53 years)	
449	DNASE	skin fibroblast male embryo (97 days)	
450	DNASE	tongue male embryo (72 days)	
451	DNASE	skin fibroblast male embryo (97 days)	
452	DNASE	liver female embryo (101 day) and female embryo (113 days)	
453	DNASE	large intestine female embryo (107 days)	
454	DNASE	hematopoietic multipotent progenitor cell treated with interleukin-3 for 6 days, kit ligand for 6 days, hydrocortisone succinate for 6 days, erythropoietin for 6 days	
455	DNASE	common myeloid progenitor, CD34-positive male	
456	DNASE	small intestine female embryo (98 days)	
457	DNASE	CD4-positive, alpha-beta T cell male adult (21 year)	
458	DNASE	brain male embryo (101 day)	
459	DNASE	placenta female embryo (101 day) and male embryo (105 days)	
460	DNASE	renal pelvis male embryo (91 day)	
461	DNASE	lung embryo (80 days) and male embryo (76 days)	
462	DNASE	Ammon's horn male adult (84 years)	
463	DNASE	muscle of back female embryo (105 days)	
464	DNASE	lung male embryo (82 days)	
465	DNASE	left renal cortex interstitium male embryo (105 days)	
466	DNASE	trophoblast cell embryo (17 weeks) and embryo (18 weeks)	
467	DNASE	RPMI8226	
468	DNASE	small intestine male embryo (91 day)	
469	DNASE	brain embryo (56 days) and male embryo (58 days)	
470	DNASE	pancreas female adult (30 years)	
471	DNASE	adrenal gland female adult (53 years)	
472	DNASE	breast epithelium female adult (51 year)	
473	DNASE	left kidney male embryo (87 days)	
474	DNASE	renal pelvis female embryo (96 days)	
475	DNASE	stomach male embryo (127 days)	
476	DNASE	CD8-positive, alpha-beta T cell female adult (34 years)	
477	DNASE	spinal cord female embryo (89 days)	
478	DNASE	muscle of arm male embryo (97 days)	
479	DNASE	renal pelvis female embryo (105 days)	
480	DNASE	HAP-1	
481	DNASE	SJSA1	
482	DNASE	retina embryo (74 days) and embryo (85 days)	
483	DNASE	muscle of leg male embryo (127 days)	
484	DNASE	fibroblast of skin of abdomen male embryo (97 days)	
485	DNASE	bipolar neuron originated from GM23338 treated with 0.5 ug/mL doxycycline hyclate for 4 days	
486	DNASE	stomach female embryo (147 days)	
487	DNASE	lung male embryo (54 days) and male embryo (58 days)	
488	DNASE	T-cell male adult (36 years)	
489	DNASE	T-cell male adult (21 year)	
490	DNASE	HK-2	
491	DNASE	NCI-H460	
492	DNASE	left lung male embryo (96 days)	
493	DNASE	common myeloid progenitor, CD34-positive male adult (23 years)	
494	DNASE	stomach female adult (51 year)	
495	DNASE	CD4-positive, alpha-beta T cell female adult (33 years)	
496	DNASE	kidney female embryo (113 days)	
497	DNASE	skin fibroblast male embryo (97 days)	
498	DNASE	placenta female embryo (85 days)	
499	DNASE	brain male embryo (122 days)	
500	DNASE	muscle of arm male embryo (97 days)	
501	DNASE	renal cortex interstitium female embryo (103 days)	
502	DNASE	thyroid gland female adult (51 year)	
503	DNASE	NAMALWA	
504	DNASE	heart embryo (59 days) and female embryo (76 days)	
505	DNASE	large intestine male embryo (105 days)	
506	DNASE	skin fibroblast male embryo (97 days)	
507	DNASE	right kidney male embryo (96 days)	
508	DNASE	CD14-positive monocyte male adult (37 years)	
509	DNASE	ELF-1	
510	DNASE	spinal cord female embryo (113 days)	
511	DNASE	spleen embryo (112 days)	
512	DNASE	left lung female embryo (107 days)	
513	DNASE	thymus female embryo	
514	DNASE	CD4-positive, alpha-beta T cell male adult (21 year)	
515	DNASE	stomach female embryo (96 days)	
516	DNASE	EL	
517	DNASE	CD14-positive monocyte female adult (34 years)	
518	DNASE	thyroid gland female adult (53 years)	
519	DNASE	adrenal gland female embryo (113 days)	
520	DNASE	muscle of back male embryo (96 days)	
521	DNASE	SJCRH30	
522	DNASE	natural killer cell male adult (21 year)	
523	DNASE	heart male embryo (72 days) and male embryo (76 days)	
524	DNASE	midbrain male adult (78 years) and male adult (84 years)	
525	DNASE	ovary female adult (30 years)	
526	DNASE	mesendoderm originated from H1-hESC	
527	DNASE	natural killer cell male adult (37 years)	
528	DNASE	natural killer cell female adult (34 years)	
529	DNASE	foreskin keratinocyte male newborn	
530	DNASE	stomach female embryo	
531	DNASE	adrenal gland male embryo (108 days)	
532	DNASE	testis male embryo	
533	DNASE	mesenchymal stem cell originated from H1-hESC	
534	DNASE	vagina female adult (51 year)	
535	DNASE	common myeloid progenitor, CD34-positive male adult (43 years)	
536	DNASE	heart right ventricle female embryo (101 day) and female embryo (103 days)	
537	DNASE	L1-S8R	
538	DNASE	heart female embryo (116 days) and female embryo (98 days)	
539	DNASE	MCF 10A treated with 1 uM tamoxifen for 24 hours	
540	DNASE	right renal pelvis male embryo (105 days)	
541	DNASE	muscle of arm female embryo (98 days)	
542	DNASE	H9 G1 phase genetically modified using stable transfection	
543	DNASE	tibial nerve male adult (37 years)	
544	DNASE	kidney male embryo (85 days)	
545	DNASE	tongue female embryo (59 days) and female embryo (76 days)	
546	DNASE	transverse colon female adult (51 year)	
547	DNASE	right renal pelvis male embryo (105 days)	
548	DNASE	large intestine male embryo (91 day)	
549	DNASE	right kidney female embryo (117 days)	
550	DNASE	right kidney male embryo (91 day)	
551	DNASE	skin fibroblast male embryo (97 days)	
552	DNASE	globus pallidus male adult (78 years) and male adult (84 years)	
553	DNASE	kidney female embryo (105 days)	
554	DNASE	right atrium auricular region female adult (53 years)	
555	DNASE	thymus female embryo (147 days)	
556	DNASE	stomach male adult (34 years)	
557	DNASE	eye embryo (56 days) and male embryo (76 days)	
558	DNASE	esophagus squamous epithelium male adult (37 years)	
559	DNASE	glomerular visceral epithelial cell child (3 years)	
560	DNASE	muscle of back male embryo (127 days)	
561	DNASE	spinal cord male embryo (96 days)	
562	DNASE	MCF 10A	
563	DNASE	transverse colon male adult (54 years)	
564	DNASE	kidney embryo (59 days) and female embryo (59 days)	
565	DNASE	H1-hESC	
566	DNASE	large intestine female embryo (98 days)	
567	DNASE	large intestine female embryo (103 days)	
568	DNASE	placenta male embryo (85 days)	
569	DNASE	left lung female embryo (91 day)	
570	DNASE	heart embryo (80 days)	
571	DNASE	femur female embryo (98 days)	
572	DNASE	H4	
573	DNASE	trophoblast cell embryo (23 weeks)	
574	DNASE	urinary bladder male embryo (76 days)	
575	DNASE	HT-29	
576	DNASE	limb embryo (53 days) and embryo (56 days)	
577	DNASE	retina female embryo (89 days)	
578	DNASE	dedifferentiated amniotic fluid mesenchymal stem cell	
579	DNASE	upper lobe of left lung female adult (53 years)	
580	DNASE	brain female embryo (105 days)	
581	DNASE	muscle of arm embryo (101 day)	
582	DNASE	renal cortex interstitium male embryo (108 days)	
583	DNASE	pons male adult (78 years)	
584	DNASE	thymus female embryo (105 days)	
585	DNASE	CD8-positive, alpha-beta T cell female adult (33 years)	
586	DNASE	cardiac muscle cell	
587	DNASE	CD8-positive, alpha-beta T cell male adult (21 year)	
588	DNASE	hematopoietic multipotent progenitor cell treated with interleukin-3 for 8 days, kit ligand for 8 days, hydrocortisone succinate for 8 days, erythropoietin for 8 days	
589	DNASE	right lung female embryo (117 days)	
590	DNASE	right lung male embryo (105 days)	
591	DNASE	lung female embryo (96 days)	
592	DNASE	adrenal gland male adult (54 years)	
593	DNASE	renal cortex interstitium male embryo (127 days)	
594	DNASE	spleen male adult (54 years)	
595	DNASE	renal cortex interstitium female embryo (89 days)	
596	DNASE	ascending aorta female adult (51 year)	
597	DNASE	ovary female adult (51 year)	
598	DNASE	hematopoietic multipotent progenitor cell treated with interleukin-3 for 13 days, kit ligand for 13 days, hydrocortisone succinate for 13 days, erythropoietin for 13 days	
599	DNASE	cardiac fibroblast female embryo (94 days) and female embryo (98 days)	
600	DNASE	adrenal gland male embryo (85 days)	
601	DNASE	large intestine male embryo (108 days)	
602	DNASE	occipital lobe male adult (84 years)	
603	DNASE	right lung female embryo (107 days)	
604	DNASE	small intestine female embryo (105 days)	
605	DNASE	muscle of leg male embryo (104 days)	
606	DNASE	lower leg skin female adult (53 years)	
